atp,location,tournament,date,series,court,surface,round,bestof,winner,loser,anho
2,Chennai,Chennai Open,2014/01/03,ATP250,Outdoor,Hard,Quarterfinals,3,Pospisil V.,Bhambri Y.,2014
2,Chennai,Chennai Open,2014/01/04,ATP250,Outdoor,Hard,Semifinals,3,Roger-Vasselin E.,Granollers M.,2014
2,Chennai,Chennai Open,2014/01/04,ATP250,Outdoor,Hard,Semifinals,3,Wawrinka S.,Pospisil V.,2014
2,Chennai,Chennai Open,2014/01/05,ATP250,Outdoor,Hard,The Final,3,Wawrinka S.,Roger-Vasselin E.,2014
3,Doha,Qatar Exxon Mobil Open,2013/12/30,ATP250,Outdoor,Hard,1st Round,3,Monfils G.,Giraldo S.,2013
3,Doha,Qatar Exxon Mobil Open,2013/12/30,ATP250,Outdoor,Hard,1st Round,3,Kubot L.,Gimeno-Traver D.,2013
3,Doha,Qatar Exxon Mobil Open,2013/12/30,ATP250,Outdoor,Hard,1st Round,3,Karlovic I.,Berdych T.,2013
3,Doha,Qatar Exxon Mobil Open,2013/12/30,ATP250,Outdoor,Hard,1st Round,3,Verdasco F.,Volandri F.,2013
3,Doha,Qatar Exxon Mobil Open,2013/12/30,ATP250,Outdoor,Hard,1st Round,3,Hanescu V.,Sousa J.,2013
3,Doha,Qatar Exxon Mobil Open,2013/12/30,ATP250,Outdoor,Hard,1st Round,3,Kamke T.,Jaziri M.,2013
3,Doha,Qatar Exxon Mobil Open,2013/12/31,ATP250,Outdoor,Hard,1st Round,3,Brown D.,Dodig I.,2013
3,Doha,Qatar Exxon Mobil Open,2013/12/31,ATP250,Outdoor,Hard,1st Round,3,Gojowczyk P.,Thiem D.,2013
3,Doha,Qatar Exxon Mobil Open,2013/12/31,ATP250,Outdoor,Hard,1st Round,3,Murray A.,Zayed M.S.,2013
3,Doha,Qatar Exxon Mobil Open,2013/12/31,ATP250,Outdoor,Hard,1st Round,3,Brands D.,Davydenko N.,2013
3,Doha,Qatar Exxon Mobil Open,2013/12/31,ATP250,Outdoor,Hard,1st Round,3,Ferrer D.,Dolgopolov O.,2013
3,Doha,Qatar Exxon Mobil Open,2013/12/31,ATP250,Outdoor,Hard,1st Round,3,Mayer F.,Przysiezny M.,2013
3,Doha,Qatar Exxon Mobil Open,2013/12/31,ATP250,Outdoor,Hard,1st Round,3,Gulbis E.,Evans D.,2013
3,Doha,Qatar Exxon Mobil Open,2013/12/31,ATP250,Outdoor,Hard,1st Round,3,Nadal R.,Rosol L.,2013
3,Doha,Qatar Exxon Mobil Open,2013/12/31,ATP250,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Andujar P.,2013
3,Doha,Qatar Exxon Mobil Open,2013/12/31,ATP250,Outdoor,Hard,1st Round,3,Gasquet R.,Hossam K.,2013
3,Doha,Qatar Exxon Mobil Open,2014/01/01,ATP250,Outdoor,Hard,2nd Round,3,Gojowczyk P.,Kohlschreiber P.,2014
3,Doha,Qatar Exxon Mobil Open,2014/01/01,ATP250,Outdoor,Hard,2nd Round,3,Mayer F.,Murray A.,2014
3,Doha,Qatar Exxon Mobil Open,2014/01/01,ATP250,Outdoor,Hard,2nd Round,3,Hanescu V.,Verdasco F.,2014
3,Doha,Qatar Exxon Mobil Open,2014/01/01,ATP250,Outdoor,Hard,2nd Round,3,Brown D.,Karlovic I.,2014
3,Doha,Qatar Exxon Mobil Open,2014/01/01,ATP250,Outdoor,Hard,2nd Round,3,Nadal R.,Kamke T.,2014
3,Doha,Qatar Exxon Mobil Open,2014/01/01,ATP250,Outdoor,Hard,2nd Round,3,Gulbis E.,Kubot L.,2014
3,Doha,Qatar Exxon Mobil Open,2014/01/01,ATP250,Outdoor,Hard,2nd Round,3,Brands D.,Ferrer D.,2014
3,Doha,Qatar Exxon Mobil Open,2014/01/01,ATP250,Outdoor,Hard,2nd Round,3,Monfils G.,Gasquet R.,2014
3,Doha,Qatar Exxon Mobil Open,2014/01/02,ATP250,Outdoor,Hard,Quarterfinals,3,Gojowczyk P.,Brown D.,2014
3,Doha,Qatar Exxon Mobil Open,2014/01/02,ATP250,Outdoor,Hard,Quarterfinals,3,Nadal R.,Gulbis E.,2014
3,Doha,Qatar Exxon Mobil Open,2014/01/02,ATP250,Outdoor,Hard,Quarterfinals,3,Mayer F.,Hanescu V.,2014
3,Doha,Qatar Exxon Mobil Open,2014/01/02,ATP250,Outdoor,Hard,Quarterfinals,3,Monfils G.,Brands D.,2014
3,Doha,Qatar Exxon Mobil Open,2014/01/03,ATP250,Outdoor,Hard,Semifinals,3,Nadal R.,Gojowczyk P.,2014
3,Doha,Qatar Exxon Mobil Open,2014/01/03,ATP250,Outdoor,Hard,Semifinals,3,Monfils G.,Mayer F.,2014
3,Doha,Qatar Exxon Mobil Open,2014/01/04,ATP250,Outdoor,Hard,The Final,3,Nadal R.,Monfils G.,2014
4,Auckland,Heineken Open,2014/01/06,ATP250,Outdoor,Hard,1st Round,3,Giraldo S.,Montanes A.,2014
4,Auckland,Heineken Open,2014/01/06,ATP250,Outdoor,Hard,1st Round,3,Sock J.,Mannarino A.,2014
4,Auckland,Heineken Open,2014/01/06,ATP250,Outdoor,Hard,1st Round,3,Zeballos H.,Volandri F.,2014
4,Auckland,Heineken Open,2014/01/06,ATP250,Outdoor,Hard,1st Round,3,Young D.,Delbonis F.,2014
4,Auckland,Heineken Open,2014/01/06,ATP250,Outdoor,Hard,1st Round,3,Lacko L.,Statham J.,2014
4,Auckland,Heineken Open,2014/01/07,ATP250,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,Haase R.,2014
4,Auckland,Heineken Open,2014/01/07,ATP250,Outdoor,Hard,1st Round,3,Bautista R.,Gimeno-Traver D.,2014
4,Auckland,Heineken Open,2014/01/07,ATP250,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Carreno-Busta P.,2014
4,Auckland,Heineken Open,2014/01/07,ATP250,Outdoor,Hard,1st Round,3,Lu Y.H.,Sijsling I.,2014
4,Auckland,Heineken Open,2014/01/07,ATP250,Outdoor,Hard,1st Round,3,Paire B.,Przysiezny M.,2014
4,Auckland,Heineken Open,2014/01/07,ATP250,Outdoor,Hard,1st Round,3,Klahn B.,Brands D.,2014
4,Auckland,Heineken Open,2014/01/07,ATP250,Outdoor,Hard,1st Round,3,Johnson S.,Baghdatis M.,2014
4,Auckland,Heineken Open,2014/01/07,ATP250,Outdoor,Hard,2nd Round,3,Sock J.,Haas T.,2014
4,Auckland,Heineken Open,2014/01/07,ATP250,Outdoor,Hard,2nd Round,3,Kohlschreiber P.,Zeballos H.,2014
4,Auckland,Heineken Open,2014/01/08,ATP250,Outdoor,Hard,2nd Round,3,Isner J.,Lacko L.,2014
4,Auckland,Heineken Open,2014/01/08,ATP250,Outdoor,Hard,2nd Round,3,Bautista R.,Paire B.,2014
4,Auckland,Heineken Open,2014/01/08,ATP250,Outdoor,Hard,2nd Round,3,Lu Y.H.,Klahn B.,2014
4,Auckland,Heineken Open,2014/01/08,ATP250,Outdoor,Hard,2nd Round,3,Johnson S.,Anderson K.,2014
4,Auckland,Heineken Open,2014/01/08,ATP250,Outdoor,Hard,2nd Round,3,Garcia-Lopez G.,Giraldo S.,2014
4,Auckland,Heineken Open,2014/01/08,ATP250,Outdoor,Hard,2nd Round,3,Ferrer D.,Young D.,2014
4,Auckland,Heineken Open,2014/01/08,ATP250,Outdoor,Hard,Quarterfinals,3,Bautista R.,Sock J.,2014
4,Auckland,Heineken Open,2014/01/09,ATP250,Outdoor,Hard,Quarterfinals,3,Isner J.,Kohlschreiber P.,2014
4,Auckland,Heineken Open,2014/01/09,ATP250,Outdoor,Hard,Quarterfinals,3,Lu Y.H.,Johnson S.,2014
4,Auckland,Heineken Open,2014/01/09,ATP250,Outdoor,Hard,Quarterfinals,3,Ferrer D.,Garcia-Lopez G.,2014
4,Auckland,Heineken Open,2014/01/10,ATP250,Outdoor,Hard,Semifinals,3,Isner J.,Bautista R.,2014
4,Auckland,Heineken Open,2014/01/10,ATP250,Outdoor,Hard,Semifinals,3,Lu Y.H.,Ferrer D.,2014
4,Auckland,Heineken Open,2014/01/11,ATP250,Outdoor,Hard,The Final,3,Isner J.,Lu Y.H.,2014
5,Sydney,Apia International,2014/01/06,ATP250,Outdoor,Hard,1st Round,3,Istomin D.,Andujar P.,2014
5,Sydney,Apia International,2014/01/06,ATP250,Outdoor,Hard,1st Round,3,Benneteau J.,Ebden M.,2014
5,Sydney,Apia International,2014/01/06,ATP250,Outdoor,Hard,1st Round,3,Rosol L.,Sousa J.,2014
5,Sydney,Apia International,2014/01/07,ATP250,Outdoor,Hard,1st Round,3,Cilic M.,Struff J-L.,2014
5,Sydney,Apia International,2014/01/07,ATP250,Outdoor,Hard,1st Round,3,Mahut N.,Harrison R.,2014
5,Sydney,Apia International,2014/01/07,ATP250,Outdoor,Hard,1st Round,3,Ramos A.,Querrey S.,2014
5,Sydney,Apia International,2014/01/07,ATP250,Outdoor,Hard,1st Round,3,Stepanek R.,Groth S.,2014
5,Sydney,Apia International,2014/01/07,ATP250,Outdoor,Hard,1st Round,3,Stakhovsky S.,Berlocq C.,2014
5,Sydney,Apia International,2014/01/07,ATP250,Outdoor,Hard,1st Round,3,Kavcic B.,Nieminen J.,2014
5,Sydney,Apia International,2014/01/07,ATP250,Outdoor,Hard,1st Round,3,Matosevic M.,Mayer F.,2014
5,Sydney,Apia International,2014/01/07,ATP250,Outdoor,Hard,1st Round,3,Dolgopolov O.,Roger-Vasselin E.,2014
5,Sydney,Apia International,2014/01/07,ATP250,Outdoor,Hard,1st Round,3,Tomic B.,Granollers M.,2014
5,Sydney,Apia International,2014/01/08,ATP250,Outdoor,Hard,2nd Round,3,Matosevic M.,Seppi A.,2014
5,Sydney,Apia International,2014/01/08,ATP250,Outdoor,Hard,2nd Round,3,Stakhovsky S.,Benneteau J.,2014
5,Sydney,Apia International,2014/01/08,ATP250,Outdoor,Hard,2nd Round,3,Tursunov D.,Rosol L.,2014
5,Sydney,Apia International,2014/01/08,ATP250,Outdoor,Hard,2nd Round,3,Stepanek R.,Ramos A.,2014
5,Sydney,Apia International,2014/01/08,ATP250,Outdoor,Hard,2nd Round,3,Del Potro J.M.,Mahut N.,2014
5,Sydney,Apia International,2014/01/08,ATP250,Outdoor,Hard,2nd Round,3,Tomic B.,Kavcic B.,2014
5,Sydney,Apia International,2014/01/08,ATP250,Outdoor,Hard,2nd Round,3,Istomin D.,Cilic M.,2014
5,Sydney,Apia International,2014/01/08,ATP250,Outdoor,Hard,2nd Round,3,Dolgopolov O.,Janowicz J.,2014
5,Sydney,Apia International,2014/01/09,ATP250,Outdoor,Hard,Quarterfinals,3,Del Potro J.M.,Stepanek R.,2014
5,Sydney,Apia International,2014/01/09,ATP250,Outdoor,Hard,Quarterfinals,3,Tursunov D.,Istomin D.,2014
5,Sydney,Apia International,2014/01/09,ATP250,Outdoor,Hard,Quarterfinals,3,Tomic B.,Dolgopolov O.,2014
5,Sydney,Apia International,2014/01/09,ATP250,Outdoor,Hard,Quarterfinals,3,Stakhovsky S.,Matosevic M.,2014
5,Sydney,Apia International,2014/01/10,ATP250,Outdoor,Hard,Semifinals,3,Del Potro J.M.,Tursunov D.,2014
5,Sydney,Apia International,2014/01/10,ATP250,Outdoor,Hard,Semifinals,3,Tomic B.,Stakhovsky S.,2014
5,Sydney,Apia International,2014/01/11,ATP250,Outdoor,Hard,The Final,3,Del Potro J.M.,Tomic B.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Dodig I.,Karlovic I.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Nieminen J.,Sela D.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Youzhny M.,Struff J.L.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Falla A.,Kukushkin M.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Querrey S.,Giraldo S.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Mannarino A.,Johnson S.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Wawrinka S.,Golubev A.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Dzumhur D.,Hajek J.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Thiem D.,Sousa J.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Mayer F.,Kudla D.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Ferrer D.,Gonzalez A.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Anderson K.,Vesely J.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Gulbis E.,Monaco J.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,De Schepper K.,Wu D.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Gasquet R.,Guez D.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Berdych T.,Nedovyesov A.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Ebden M.,Mahut N.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Chardy J.,Huta Galung J.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Fognini F.,Bogomolov A.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Mayer L.,Montanes A.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Benneteau J.,Carreno-Busta P.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Robredo T.,Rosol L.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Roger-Vasselin E.,Berlocq C.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Garcia-Lopez G.,Haas T.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Janowicz J.,Thompson J.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Pospisil V.,Groth S.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Andujar P.,Ramos A.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Davydenko N.,Kubot L.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Dolgopolov O.,Berankis R.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Tursunov D.,Russell M.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Lacko L.,2014
6,Melbourne,Australian Open,2014/01/13,Grand Slam,Outdoor,Hard,1st Round,5,Istomin D.,Baghdatis M.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Lajovic D.,Pouille L.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Dimitrov G.,Klahn B.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Nishikori K.,Matosevic M.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Przysiezny M.,Zeballos H.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Raonic M.,Gimeno-Traver D.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Lu Y.H.,Wang J.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Hanescu V.,Gojowczyk P.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Robert S.,Bedene A.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Klizan M.,Isner J.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Tsonga J.W.,Volandri F.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Rola B.,Delbonis F.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Federer R.,Duckworth J.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Gabashvili T.,Stakhovsky S.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Kavcic B.,Stepanek R.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Bellucci T.,Reister J.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Paire B.,Dancevic F.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Kyrgios N.,Becker B.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Verdasco F.,Zhang Z.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Seppi A.,Hewitt L.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Berrer M.,Llodra M.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Bautista R.,Smyczek T.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Del Potro J.M.,Williams R.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Millot V.,Odesnik W.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Lopez F.,Devvarman S.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Young D.,Haase R.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Simon G.,Brands D.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Sock J.,Kamke T.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Murray A.,Soeda G.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Kokkinakis T.,Sijsling I.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Cilic M.,Granollers M.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Monfils G.,Harrison R.,2014
6,Melbourne,Australian Open,2014/01/14,Grand Slam,Outdoor,Hard,1st Round,5,Nadal R.,Tomic B.,2014
6,Melbourne,Australian Open,2014/01/15,Grand Slam,Outdoor,Hard,2nd Round,5,Berdych T.,De Schepper K.,2014
