series,court,surface,round,bestof,winner,loser,wrank,lrank,wpts,lpts,w1,l1,w2,l2,w3,l3,w4,l4,w5,l5,wsets,lsets,anho
ATP250,Outdoor,Hard,1st Round,3,Roger-Vasselin E.,Ramos A.,52,83,908,617,6,1,6,3,,,,,,,2,0,2013
ATP250,Outdoor,Hard,1st Round,3,Bhambri Y.,Carreno-Busta P.,195,64,258,739,6,4,6,3,,,,,,,2,0,2013
ATP250,Outdoor,Hard,1st Round,3,Kudryavtsev A.,Bautista R.,270,58,170,810,6,4,3,6,6,3,,,,,2,1,2013
ATP250,Outdoor,Hard,1st Round,3,Ramanathan R.,Devvarman S.,526,90,65,599,4,6,6,3,6,4,,,,,2,1,2013
ATP250,Outdoor,Hard,1st Round,3,Becker B.,Reister J.,79,86,637,612,6,4,2,1,,,,,,,1,0,2013
ATP250,Outdoor,Hard,1st Round,3,Granollers M.,Albot R.,222,169,215,311,6,4,3,6,6,0,,,,,2,1,2013
ATP250,Outdoor,Hard,1st Round,3,Garcia-Lopez G.,Nedovyesov A.,62,93,768,586,7,5,6,0,,,,,,,2,0,2013
ATP250,Outdoor,Hard,2nd Round,3,Roger-Vasselin E.,Vesely J.,52,85,908,616,6,4,6,4,,,,,,,2,0,2014
ATP250,Outdoor,Hard,2nd Round,3,Sela D.,Youzhny M.,73,15,681,2145,3,1,,,,,,,,,0,0,2014
ATP250,Outdoor,Hard,2nd Round,3,Wawrinka S.,Becker B.,8,79,3730,637,6,3,6,1,,,,,,,2,0,2014
ATP250,Outdoor,Hard,2nd Round,3,Bedene A.,Kudryavtsev A.,95,270,573,170,1,6,3,0,,,,,,,0,1,2014
ATP250,Outdoor,Hard,2nd Round,3,Bhambri Y.,Fognini F.,195,16,258,1930,6,1,5,5,,,,,,,1,0,2014
ATP250,Outdoor,Hard,2nd Round,3,Granollers M.,Ramanathan R.,222,526,215,65,6,2,6,4,,,,,,,2,0,2014
ATP250,Outdoor,Hard,2nd Round,3,Pospisil V.,Lu Y.H.,32,65,1219,730,,,,,,,,,,,,,2014
ATP250,Outdoor,Hard,2nd Round,3,Paire B.,Garcia-Lopez G.,26,62,1345,768,6,1,6,4,,,,,,,2,0,2014
ATP250,Outdoor,Hard,Quarterfinals,3,Roger-Vasselin E.,Sela D.,52,73,908,681,7,5,6,7,6,0,,,,,2,1,2014
ATP250,Outdoor,Hard,Quarterfinals,3,Wawrinka S.,Bedene A.,8,95,3730,573,6,2,6,1,,,,,,,2,0,2014
ATP250,Outdoor,Hard,Quarterfinals,3,Granollers M.,Paire B.,222,26,215,1345,6,2,3,6,7,6,,,,,2,1,2014
ATP250,Outdoor,Hard,Quarterfinals,3,Pospisil V.,Bhambri Y.,32,195,1219,258,6,3,6,3,,,,,,,2,0,2014
ATP250,Outdoor,Hard,Semifinals,3,Roger-Vasselin E.,Granollers M.,52,222,908,215,6,2,4,6,6,3,,,,,2,1,2014
ATP250,Outdoor,Hard,Semifinals,3,Wawrinka S.,Pospisil V.,8,32,3730,1219,6,4,5,5,,,,,,,1,0,2014
ATP250,Outdoor,Hard,The Final,3,Wawrinka S.,Roger-Vasselin E.,8,52,3730,908,7,5,6,2,,,,,,,2,0,2014
ATP250,Outdoor,Hard,1st Round,3,Monfils G.,Giraldo S.,31,69,1230,703,7,6,6,2,,,,,,,2,0,2013
ATP250,Outdoor,Hard,1st Round,3,Kubot L.,Gimeno-Traver D.,72,77,686,650,6,4,6,3,,,,,,,2,0,2013
ATP250,Outdoor,Hard,1st Round,3,Karlovic I.,Berdych T.,78,7,647,4180,7,6,7,6,,,,,,,2,0,2013
